,powder1,powder2,fraction
698,v-N340,CFE PISTOL,"[[1.07407407]
 [1.24637681]]"
699,v-N340,v-N320,"[[1.18367347]
 [1.24637681]]"
700,v-N340,R SILHOUETTE,"[[1.        ]
 [1.48275862]]"
701,v-N340,ACCUR #5,"[[0.95081967]
 [0.89583333]]"
702,v-N340,R TRUE BLUE,"[[1.03571429]
 [0.82692308]]"
703,v-N340,WIN 244,"[[1.23404255]
 [1.82978723]]"
704,v-N340,WIN 572,"[[1.07407407]
 [1.59259259]]"
705,v-N340,AUTOCOMP,"[[1.23404255]
 [1.14666667]]"
706,v-N340,IMR TARGET,"[[1.48717949]
 [2.20512821]]"
707,v-N340,HS6,"[[0.89230769]
 [0.87755102]]"
708,v-N340,SR4756,"[[1.09433962]
 [1.43333333]]"
709,v-N340,UNIVERSAL,"[[1.23404255]
 [1.21126761]]"
710,v-N340,ACCUR #2,"[[1.34883721]
 [1.26470588]]"
711,v-N340,TITEGROUP,"[[1.34883721]
 [1.26470588]]"
712,v-N340,SR7625,"[[1.28888889]
 [1.48275862]]"
713,v-N340,POWER PISTOL,"[[1.07407407]
 [0.93478261]]"
714,v-N340,UNIQUE,"[[1.16      ]
 [1.02380952]]"
715,v-N340,IMR 700X,"[[1.61111111]
 [1.91111111]]"
716,v-N340,CLAYS,"[[1.65714286]
 [2.45714286]]"
717,v-N340,WIN 296,"[[0.27619048]
 [0.40952381]]"
718,v-N340,H110,"[[0.27619048]
 [0.40952381]]"
719,v-N340,H4227,"[[0.32222222]
 [0.47777778]]"
720,v-N340,v-N110,"[[0.3452381 ]
 [0.51190476]]"
721,v-N340,R ENFORCER,"[[0.35802469]
 [0.5308642 ]]"
722,v-N340,LONGSHORT,"[[0.66666667]
 [0.98850575]]"
723,v-N340,HS6,"[[0.89230769]
 [0.87755102]]"
724,v-N340,v-N350,"[[0.89230769]
 [0.89583333]]"
725,v-N340,v-N340,"[[1.]
 [1.]]"
726,v-N340,WIN 231,"[[0.79452055]
 [1.17808219]]"
727,v-N340,HP38,"[[0.79452055]
 [1.17808219]]"
728,v-N340,TITEGROUP,"[[1.34883721]
 [1.26470588]]"
729,v-N340,CFE PISTOL,"[[1.07407407]
 [1.24637681]]"
730,v-N340,R TRUE BLUE,"[[1.03571429]
 [0.82692308]]"
731,v-N340,AUTOCOMP,"[[1.23404255]
 [1.14666667]]"
732,v-N340,UNIVERSAL,"[[1.23404255]
 [1.21126761]]"
733,v-N340,ACCUR #7,"[[0.53211009]
 [0.78899083]]"
734,v-N340,ACCUR #5,"[[0.95081967]
 [0.89583333]]"
735,v-N340,SR4756,"[[1.09433962]
 [1.43333333]]"
736,v-N340,HERC 2400,"[[0.37662338]
 [0.55844156]]"
737,v-N340,SR7625,"[[1.28888889]
 [1.48275862]]"
738,v-N340,IMR 700X,"[[1.61111111]
 [1.91111111]]"
739,v-N340,v-N320,"[[1.18367347]
 [1.24637681]]"
740,v-N340,POWER PISTOL,"[[1.07407407]
 [0.93478261]]"
741,v-N340,UNIQUE,"[[1.16      ]
 [1.02380952]]"
742,v-N340,v-N310,"[[0.96666667]
 [1.43333333]]"
743,v-N340,IMR PB,"[[1.28888889]
 [1.91111111]]"
744,v-N340,ACCUR #2,"[[1.34883721]
 [1.26470588]]"
745,CFE PISTOL,v-N320,"[[1.10204082]
 [1.        ]]"
746,CFE PISTOL,R SILHOUETTE,"[[0.93103448]
 [1.18965517]]"
747,CFE PISTOL,ACCUR #5,"[[0.8852459]
 [0.71875  ]]"
748,CFE PISTOL,R TRUE BLUE,"[[0.96428571]
 [0.66346154]]"
749,CFE PISTOL,WIN 244,"[[1.14893617]
 [1.46808511]]"
750,CFE PISTOL,WIN 572,"[[1.        ]
 [1.27777778]]"
751,CFE PISTOL,AUTOCOMP,"[[1.14893617]
 [0.92      ]]"
752,CFE PISTOL,IMR TARGET,"[[1.38461538]
 [1.76923077]]"
753,CFE PISTOL,HS6,"[[0.83076923]
 [0.70408163]]"
754,CFE PISTOL,SR4756,"[[1.01886792]
 [1.15      ]]"
755,CFE PISTOL,UNIVERSAL,"[[1.14893617]
 [0.97183099]]"
756,CFE PISTOL,ACCUR #2,"[[1.25581395]
 [1.01470588]]"
757,CFE PISTOL,TITEGROUP,"[[1.25581395]
 [1.01470588]]"
758,CFE PISTOL,SR7625,"[[1.2       ]
 [1.18965517]]"
759,CFE PISTOL,POWER PISTOL,"[[1.  ]
 [0.75]]"
760,CFE PISTOL,UNIQUE,"[[1.08      ]
 [0.82142857]]"
761,CFE PISTOL,IMR 700X,"[[1.5       ]
 [1.53333333]]"
762,CFE PISTOL,CLAYS,"[[1.54285714]
 [1.97142857]]"
763,CFE PISTOL,WIN 296,"[[0.25714286]
 [0.32857143]]"
764,CFE PISTOL,H110,"[[0.25714286]
 [0.32857143]]"
765,CFE PISTOL,H4227,"[[0.3       ]
 [0.38333333]]"
766,CFE PISTOL,v-N110,"[[0.32142857]
 [0.41071429]]"
767,CFE PISTOL,R ENFORCER,"[[0.33333333]
 [0.42592593]]"
768,CFE PISTOL,LONGSHORT,"[[0.62068966]
 [0.79310345]]"
769,CFE PISTOL,HS6,"[[0.83076923]
 [0.70408163]]"
770,CFE PISTOL,v-N350,"[[0.83076923]
 [0.71875   ]]"
771,CFE PISTOL,v-N340,"[[0.93103448]
 [0.80232558]]"
772,CFE PISTOL,WIN 231,"[[0.73972603]
 [0.94520548]]"
773,CFE PISTOL,HP38,"[[0.73972603]
 [0.94520548]]"
774,CFE PISTOL,TITEGROUP,"[[1.25581395]
 [1.01470588]]"
775,CFE PISTOL,CFE PISTOL,"[[1.]
 [1.]]"
776,CFE PISTOL,R TRUE BLUE,"[[0.96428571]
 [0.66346154]]"
777,CFE PISTOL,AUTOCOMP,"[[1.14893617]
 [0.92      ]]"
778,CFE PISTOL,UNIVERSAL,"[[1.14893617]
 [0.97183099]]"
779,CFE PISTOL,ACCUR #7,"[[0.49541284]
 [0.63302752]]"
780,CFE PISTOL,ACCUR #5,"[[0.8852459]
 [0.71875  ]]"
781,CFE PISTOL,SR4756,"[[1.01886792]
 [1.15      ]]"
782,CFE PISTOL,HERC 2400,"[[0.35064935]
 [0.44805195]]"
783,CFE PISTOL,SR7625,"[[1.2       ]
 [1.18965517]]"
784,CFE PISTOL,IMR 700X,"[[1.5       ]
 [1.53333333]]"
785,CFE PISTOL,v-N320,"[[1.10204082]
 [1.        ]]"
786,CFE PISTOL,POWER PISTOL,"[[1.  ]
 [0.75]]"
787,CFE PISTOL,UNIQUE,"[[1.08      ]
 [0.82142857]]"
788,CFE PISTOL,v-N310,"[[0.9 ]
 [1.15]]"
789,CFE PISTOL,IMR PB,"[[1.2       ]
 [1.53333333]]"
790,CFE PISTOL,ACCUR #2,"[[1.25581395]
 [1.01470588]]"
791,v-N320,R SILHOUETTE,"[[0.84482759]
 [1.18965517]]"
792,v-N320,ACCUR #5,"[[0.80327869]
 [0.71875   ]]"
793,v-N320,R TRUE BLUE,"[[0.875     ]
 [0.66346154]]"
794,v-N320,WIN 244,"[[1.04255319]
 [1.46808511]]"
795,v-N320,WIN 572,"[[0.90740741]
 [1.27777778]]"
796,v-N320,AUTOCOMP,"[[1.04255319]
 [0.92      ]]"
797,v-N320,IMR TARGET,"[[1.25641026]
 [1.76923077]]"
798,v-N320,HS6,"[[0.75384615]
 [0.70408163]]"
799,v-N320,SR4756,"[[0.9245283]
 [1.15     ]]"
800,v-N320,UNIVERSAL,"[[1.04255319]
 [0.97183099]]"
801,v-N320,ACCUR #2,"[[1.13953488]
 [1.01470588]]"
802,v-N320,TITEGROUP,"[[1.13953488]
 [1.01470588]]"
803,v-N320,SR7625,"[[1.08888889]
 [1.18965517]]"
804,v-N320,POWER PISTOL,"[[0.90740741]
 [0.75      ]]"
805,v-N320,UNIQUE,"[[0.98      ]
 [0.82142857]]"
806,v-N320,IMR 700X,"[[1.36111111]
 [1.53333333]]"
807,v-N320,CLAYS,"[[1.4       ]
 [1.97142857]]"
808,v-N320,WIN 296,"[[0.23333333]
 [0.32857143]]"
809,v-N320,H110,"[[0.23333333]
 [0.32857143]]"
810,v-N320,H4227,"[[0.27222222]
 [0.38333333]]"
811,v-N320,v-N110,"[[0.29166667]
 [0.41071429]]"
812,v-N320,R ENFORCER,"[[0.30246914]
 [0.42592593]]"
813,v-N320,LONGSHORT,"[[0.56321839]
 [0.79310345]]"
814,v-N320,HS6,"[[0.75384615]
 [0.70408163]]"
815,v-N320,v-N350,"[[0.75384615]
 [0.71875   ]]"
816,v-N320,v-N340,"[[0.84482759]
 [0.80232558]]"
817,v-N320,WIN 231,"[[0.67123288]
 [0.94520548]]"
818,v-N320,HP38,"[[0.67123288]
 [0.94520548]]"
819,v-N320,TITEGROUP,"[[1.13953488]
 [1.01470588]]"
820,v-N320,CFE PISTOL,"[[0.90740741]
 [1.        ]]"
821,v-N320,R TRUE BLUE,"[[0.875     ]
 [0.66346154]]"
822,v-N320,AUTOCOMP,"[[1.04255319]
 [0.92      ]]"
823,v-N320,UNIVERSAL,"[[1.04255319]
 [0.97183099]]"
824,v-N320,ACCUR #7,"[[0.44954128]
 [0.63302752]]"
825,v-N320,ACCUR #5,"[[0.80327869]
 [0.71875   ]]"
826,v-N320,SR4756,"[[0.9245283]
 [1.15     ]]"
827,v-N320,HERC 2400,"[[0.31818182]
 [0.44805195]]"
828,v-N320,SR7625,"[[1.08888889]
 [1.18965517]]"
829,v-N320,IMR 700X,"[[1.36111111]
 [1.53333333]]"
830,v-N320,v-N320,"[[1.]
 [1.]]"
831,v-N320,POWER PISTOL,"[[0.90740741]
 [0.75      ]]"
832,v-N320,UNIQUE,"[[0.98      ]
 [0.82142857]]"
833,v-N320,v-N310,"[[0.81666667]
 [1.15      ]]"
834,v-N320,IMR PB,"[[1.08888889]
 [1.53333333]]"
835,v-N320,ACCUR #2,"[[1.13953488]
 [1.01470588]]"
836,R SILHOUETTE,ACCUR #5,"[[0.95081967]
 [0.60416667]]"
837,R SILHOUETTE,R TRUE BLUE,"[[1.03571429]
 [0.55769231]]"
838,R SILHOUETTE,WIN 244,[[1.23404255]]
839,R SILHOUETTE,WIN 572,[[1.07407407]]
840,R SILHOUETTE,AUTOCOMP,"[[1.23404255]
 [0.77333333]]"
841,R SILHOUETTE,IMR TARGET,[[1.48717949]]
842,R SILHOUETTE,HS6,"[[0.89230769]
 [0.59183673]]"
843,R SILHOUETTE,SR4756,"[[1.09433962]
 [0.96666667]]"
844,R SILHOUETTE,UNIVERSAL,"[[1.23404255]
 [0.81690141]]"
845,R SILHOUETTE,ACCUR #2,"[[1.34883721]
 [0.85294118]]"
846,R SILHOUETTE,TITEGROUP,"[[1.34883721]
 [0.85294118]]"
847,R SILHOUETTE,SR7625,"[[1.28888889]
 [1.        ]]"
848,R SILHOUETTE,POWER PISTOL,"[[1.07407407]
 [0.63043478]]"
849,R SILHOUETTE,UNIQUE,"[[1.16      ]
 [0.69047619]]"
850,R SILHOUETTE,IMR 700X,"[[1.61111111]
 [1.28888889]]"
851,R SILHOUETTE,CLAYS,[[1.65714286]]
852,R SILHOUETTE,WIN 296,[[0.27619048]]
853,R SILHOUETTE,H110,[[0.27619048]]
854,R SILHOUETTE,H4227,[[0.32222222]]
855,R SILHOUETTE,v-N110,[[0.3452381]]
856,R SILHOUETTE,R ENFORCER,[[0.35802469]]
857,R SILHOUETTE,LONGSHORT,[[0.66666667]]
858,R SILHOUETTE,HS6,"[[0.89230769]
 [0.59183673]]"
859,R SILHOUETTE,v-N350,"[[0.89230769]
 [0.60416667]]"
860,R SILHOUETTE,v-N340,"[[1.       ]
 [0.6744186]]"
861,R SILHOUETTE,WIN 231,[[0.79452055]]
862,R SILHOUETTE,HP38,[[0.79452055]]
863,R SILHOUETTE,TITEGROUP,"[[1.34883721]
 [0.85294118]]"
864,R SILHOUETTE,CFE PISTOL,"[[1.07407407]
 [0.84057971]]"
865,R SILHOUETTE,R TRUE BLUE,"[[1.03571429]
 [0.55769231]]"
866,R SILHOUETTE,AUTOCOMP,"[[1.23404255]
 [0.77333333]]"
867,R SILHOUETTE,UNIVERSAL,"[[1.23404255]
 [0.81690141]]"
868,R SILHOUETTE,ACCUR #7,[[0.53211009]]
869,R SILHOUETTE,ACCUR #5,"[[0.95081967]
 [0.60416667]]"
870,R SILHOUETTE,SR4756,"[[1.09433962]
 [0.96666667]]"
871,R SILHOUETTE,HERC 2400,[[0.37662338]]
872,R SILHOUETTE,SR7625,"[[1.28888889]
 [1.        ]]"
873,R SILHOUETTE,IMR 700X,"[[1.61111111]
 [1.28888889]]"
874,R SILHOUETTE,v-N320,"[[1.18367347]
 [0.84057971]]"
875,R SILHOUETTE,POWER PISTOL,"[[1.07407407]
 [0.63043478]]"
876,R SILHOUETTE,UNIQUE,"[[1.16      ]
 [0.69047619]]"
877,R SILHOUETTE,v-N310,[[0.96666667]]
878,R SILHOUETTE,IMR PB,[[1.28888889]]
879,R SILHOUETTE,ACCUR #2,"[[1.34883721]
 [0.85294118]]"
880,ACCUR #5,R TRUE BLUE,"[[1.08928571]
 [0.92307692]]"
881,ACCUR #5,WIN 244,"[[1.29787234]
 [2.04255319]]"
882,ACCUR #5,WIN 572,"[[1.12962963]
 [1.77777778]]"
883,ACCUR #5,AUTOCOMP,"[[1.29787234]
 [1.28      ]]"
884,ACCUR #5,IMR TARGET,"[[1.56410256]
 [2.46153846]]"
885,ACCUR #5,HS6,"[[0.93846154]
 [0.97959184]]"
886,ACCUR #5,SR4756,"[[1.1509434]
 [1.6      ]]"
887,ACCUR #5,UNIVERSAL,"[[1.29787234]
 [1.35211268]]"
888,ACCUR #5,ACCUR #2,"[[1.41860465]
 [1.41176471]]"
889,ACCUR #5,TITEGROUP,"[[1.41860465]
 [1.41176471]]"
890,ACCUR #5,SR7625,"[[1.35555556]
 [1.65517241]]"
891,ACCUR #5,POWER PISTOL,"[[1.12962963]
 [1.04347826]]"
892,ACCUR #5,UNIQUE,"[[1.22      ]
 [1.14285714]]"
893,ACCUR #5,IMR 700X,"[[1.69444444]
 [2.13333333]]"
894,ACCUR #5,CLAYS,"[[1.74285714]
 [2.74285714]]"
895,ACCUR #5,WIN 296,"[[0.29047619]
 [0.45714286]]"
896,ACCUR #5,H110,"[[0.29047619]
 [0.45714286]]"
897,ACCUR #5,H4227,"[[0.33888889]
 [0.53333333]]"
898,ACCUR #5,v-N110,"[[0.36309524]
 [0.57142857]]"
899,ACCUR #5,R ENFORCER,"[[0.37654321]
 [0.59259259]]"
900,ACCUR #5,LONGSHORT,"[[0.70114943]
 [1.10344828]]"
901,ACCUR #5,HS6,"[[0.93846154]
 [0.97959184]]"
902,ACCUR #5,v-N350,"[[0.93846154]
 [1.        ]]"
903,ACCUR #5,v-N340,"[[1.05172414]
 [1.11627907]]"
904,ACCUR #5,WIN 231,"[[0.83561644]
 [1.31506849]]"
905,ACCUR #5,HP38,"[[0.83561644]
 [1.31506849]]"
906,ACCUR #5,TITEGROUP,"[[1.41860465]
 [1.41176471]]"
907,ACCUR #5,CFE PISTOL,"[[1.12962963]
 [1.39130435]]"
908,ACCUR #5,R TRUE BLUE,"[[1.08928571]
 [0.92307692]]"
909,ACCUR #5,AUTOCOMP,"[[1.29787234]
 [1.28      ]]"
910,ACCUR #5,UNIVERSAL,"[[1.29787234]
 [1.35211268]]"
911,ACCUR #5,ACCUR #7,"[[0.55963303]
 [0.88073394]]"
912,ACCUR #5,ACCUR #5,"[[1.]
 [1.]]"
913,ACCUR #5,SR4756,"[[1.1509434]
 [1.6      ]]"
914,ACCUR #5,HERC 2400,"[[0.3961039 ]
 [0.62337662]]"
915,ACCUR #5,SR7625,"[[1.35555556]
 [1.65517241]]"
916,ACCUR #5,IMR 700X,"[[1.69444444]
 [2.13333333]]"
917,ACCUR #5,v-N320,"[[1.24489796]
 [1.39130435]]"
918,ACCUR #5,POWER PISTOL,"[[1.12962963]
 [1.04347826]]"
919,ACCUR #5,UNIQUE,"[[1.22      ]
 [1.14285714]]"
920,ACCUR #5,v-N310,"[[1.01666667]
 [1.6       ]]"
921,ACCUR #5,IMR PB,"[[1.35555556]
 [2.13333333]]"
922,ACCUR #5,ACCUR #2,"[[1.41860465]
 [1.41176471]]"
923,R TRUE BLUE,WIN 244,"[[1.19148936]
 [2.21276596]]"
924,R TRUE BLUE,WIN 572,"[[1.03703704]
 [1.92592593]]"
925,R TRUE BLUE,AUTOCOMP,"[[1.19148936]
 [1.38666667]]"
926,R TRUE BLUE,IMR TARGET,"[[1.43589744]
 [2.66666667]]"
927,R TRUE BLUE,HS6,"[[0.86153846]
 [1.06122449]]"
928,R TRUE BLUE,SR4756,"[[1.05660377]
 [1.73333333]]"
929,R TRUE BLUE,UNIVERSAL,"[[1.19148936]
 [1.46478873]]"
930,R TRUE BLUE,ACCUR #2,"[[1.30232558]
 [1.52941176]]"
931,R TRUE BLUE,TITEGROUP,"[[1.30232558]
 [1.52941176]]"
932,R TRUE BLUE,SR7625,"[[1.24444444]
 [1.79310345]]"
933,R TRUE BLUE,POWER PISTOL,"[[1.03703704]
 [1.13043478]]"
934,R TRUE BLUE,UNIQUE,"[[1.12      ]
 [1.23809524]]"
935,R TRUE BLUE,IMR 700X,"[[1.55555556]
 [2.31111111]]"
936,R TRUE BLUE,CLAYS,"[[1.6       ]
 [2.97142857]]"
937,R TRUE BLUE,WIN 296,"[[0.26666667]
 [0.4952381 ]]"
938,R TRUE BLUE,H110,"[[0.26666667]
 [0.4952381 ]]"
939,R TRUE BLUE,H4227,"[[0.31111111]
 [0.57777778]]"
940,R TRUE BLUE,v-N110,"[[0.33333333]
 [0.61904762]]"
941,R TRUE BLUE,R ENFORCER,"[[0.34567901]
 [0.64197531]]"
942,R TRUE BLUE,LONGSHORT,"[[0.64367816]
 [1.1954023 ]]"
943,R TRUE BLUE,HS6,"[[0.86153846]
 [1.06122449]]"
944,R TRUE BLUE,v-N350,"[[0.86153846]
 [1.08333333]]"
945,R TRUE BLUE,v-N340,"[[0.96551724]
 [1.20930233]]"
946,R TRUE BLUE,WIN 231,"[[0.76712329]
 [1.42465753]]"
947,R TRUE BLUE,HP38,"[[0.76712329]
 [1.42465753]]"
948,R TRUE BLUE,TITEGROUP,"[[1.30232558]
 [1.52941176]]"
949,R TRUE BLUE,CFE PISTOL,"[[1.03703704]
 [1.50724638]]"
950,R TRUE BLUE,R TRUE BLUE,"[[1.]
 [1.]]"
951,R TRUE BLUE,AUTOCOMP,"[[1.19148936]
 [1.38666667]]"
952,R TRUE BLUE,UNIVERSAL,"[[1.19148936]
 [1.46478873]]"
953,R TRUE BLUE,ACCUR #7,"[[0.51376147]
 [0.95412844]]"
954,R TRUE BLUE,ACCUR #5,"[[0.91803279]
 [1.08333333]]"
955,R TRUE BLUE,SR4756,"[[1.05660377]
 [1.73333333]]"
956,R TRUE BLUE,HERC 2400,"[[0.36363636]
 [0.67532468]]"
957,R TRUE BLUE,SR7625,"[[1.24444444]
 [1.79310345]]"
958,R TRUE BLUE,IMR 700X,"[[1.55555556]
 [2.31111111]]"
959,R TRUE BLUE,v-N320,"[[1.14285714]
 [1.50724638]]"
960,R TRUE BLUE,POWER PISTOL,"[[1.03703704]
 [1.13043478]]"
961,R TRUE BLUE,UNIQUE,"[[1.12      ]
 [1.23809524]]"
962,R TRUE BLUE,v-N310,"[[0.93333333]
 [1.73333333]]"
963,R TRUE BLUE,IMR PB,"[[1.24444444]
 [2.31111111]]"
964,R TRUE BLUE,ACCUR #2,"[[1.30232558]
 [1.52941176]]"
965,WIN 244,WIN 572,[[0.87037037]]
966,WIN 244,AUTOCOMP,"[[1.        ]
 [0.62666667]]"
967,WIN 244,IMR TARGET,[[1.20512821]]
968,WIN 244,HS6,"[[0.72307692]
 [0.47959184]]"
969,WIN 244,SR4756,"[[0.88679245]
 [0.78333333]]"
970,WIN 244,UNIVERSAL,"[[1.        ]
 [0.66197183]]"
971,WIN 244,ACCUR #2,"[[1.09302326]
 [0.69117647]]"
972,WIN 244,TITEGROUP,"[[1.09302326]
 [0.69117647]]"
973,WIN 244,SR7625,"[[1.04444444]
 [0.81034483]]"
974,WIN 244,POWER PISTOL,"[[0.87037037]
 [0.51086957]]"
975,WIN 244,UNIQUE,"[[0.94      ]
 [0.55952381]]"
976,WIN 244,IMR 700X,"[[1.30555556]
 [1.04444444]]"
977,WIN 244,CLAYS,[[1.34285714]]
978,WIN 244,WIN 296,[[0.22380952]]
979,WIN 244,H110,[[0.22380952]]
980,WIN 244,H4227,[[0.26111111]]
981,WIN 244,v-N110,[[0.2797619]]
982,WIN 244,R ENFORCER,[[0.29012346]]
983,WIN 244,LONGSHORT,[[0.54022989]]
984,WIN 244,HS6,"[[0.72307692]
 [0.47959184]]"
985,WIN 244,v-N350,"[[0.72307692]
 [0.48958333]]"
986,WIN 244,v-N340,"[[0.81034483]
 [0.54651163]]"
987,WIN 244,WIN 231,[[0.64383562]]
988,WIN 244,HP38,[[0.64383562]]
989,WIN 244,TITEGROUP,"[[1.09302326]
 [0.69117647]]"
990,WIN 244,CFE PISTOL,"[[0.87037037]
 [0.68115942]]"
991,WIN 244,R TRUE BLUE,"[[0.83928571]
 [0.45192308]]"
992,WIN 244,AUTOCOMP,"[[1.        ]
 [0.62666667]]"
993,WIN 244,UNIVERSAL,"[[1.        ]
 [0.66197183]]"
994,WIN 244,ACCUR #7,[[0.43119266]]
995,WIN 244,ACCUR #5,"[[0.7704918 ]
 [0.48958333]]"
996,WIN 244,SR4756,"[[0.88679245]
 [0.78333333]]"
997,WIN 244,HERC 2400,[[0.30519481]]
998,WIN 244,SR7625,"[[1.04444444]
 [0.81034483]]"
999,WIN 244,IMR 700X,"[[1.30555556]
 [1.04444444]]"
1000,WIN 244,v-N320,"[[0.95918367]
 [0.68115942]]"
1001,WIN 244,POWER PISTOL,"[[0.87037037]
 [0.51086957]]"
1002,WIN 244,UNIQUE,"[[0.94      ]
 [0.55952381]]"
1003,WIN 244,v-N310,[[0.78333333]]
1004,WIN 244,IMR PB,[[1.04444444]]
1005,WIN 244,ACCUR #2,"[[1.09302326]
 [0.69117647]]"
1006,WIN 572,AUTOCOMP,"[[1.14893617]
 [0.72      ]]"
1007,WIN 572,IMR TARGET,[[1.38461538]]
1008,WIN 572,HS6,"[[0.83076923]
 [0.55102041]]"
1009,WIN 572,SR4756,"[[1.01886792]
 [0.9       ]]"
1010,WIN 572,UNIVERSAL,"[[1.14893617]
 [0.76056338]]"
1011,WIN 572,ACCUR #2,"[[1.25581395]
 [0.79411765]]"
1012,WIN 572,TITEGROUP,"[[1.25581395]
 [0.79411765]]"
1013,WIN 572,SR7625,"[[1.2       ]
 [0.93103448]]"
1014,WIN 572,POWER PISTOL,"[[1.        ]
 [0.58695652]]"
1015,WIN 572,UNIQUE,"[[1.08      ]
 [0.64285714]]"
1016,WIN 572,IMR 700X,"[[1.5]
 [1.2]]"
1017,WIN 572,CLAYS,[[1.54285714]]
1018,WIN 572,WIN 296,[[0.25714286]]
1019,WIN 572,H110,[[0.25714286]]
1020,WIN 572,H4227,[[0.3]]
1021,WIN 572,v-N110,[[0.32142857]]
1022,WIN 572,R ENFORCER,[[0.33333333]]
1023,WIN 572,LONGSHORT,[[0.62068966]]
1024,WIN 572,HS6,"[[0.83076923]
 [0.55102041]]"
1025,WIN 572,v-N350,"[[0.83076923]
 [0.5625    ]]"
1026,WIN 572,v-N340,"[[0.93103448]
 [0.62790698]]"
1027,WIN 572,WIN 231,[[0.73972603]]
1028,WIN 572,HP38,[[0.73972603]]
1029,WIN 572,TITEGROUP,"[[1.25581395]
 [0.79411765]]"
1030,WIN 572,CFE PISTOL,"[[1.       ]
 [0.7826087]]"
1031,WIN 572,R TRUE BLUE,"[[0.96428571]
 [0.51923077]]"
1032,WIN 572,AUTOCOMP,"[[1.14893617]
 [0.72      ]]"
1033,WIN 572,UNIVERSAL,"[[1.14893617]
 [0.76056338]]"
1034,WIN 572,ACCUR #7,[[0.49541284]]
1035,WIN 572,ACCUR #5,"[[0.8852459]
 [0.5625   ]]"
1036,WIN 572,SR4756,"[[1.01886792]
 [0.9       ]]"
1037,WIN 572,HERC 2400,[[0.35064935]]
1038,WIN 572,SR7625,"[[1.2       ]
 [0.93103448]]"
1039,WIN 572,IMR 700X,"[[1.5]
 [1.2]]"
1040,WIN 572,v-N320,"[[1.10204082]
 [0.7826087 ]]"
1041,WIN 572,POWER PISTOL,"[[1.        ]
 [0.58695652]]"
1042,WIN 572,UNIQUE,"[[1.08      ]
 [0.64285714]]"
1043,WIN 572,v-N310,[[0.9]]
1044,WIN 572,IMR PB,[[1.2]]
1045,WIN 572,ACCUR #2,"[[1.25581395]
 [0.79411765]]"
1046,AUTOCOMP,IMR TARGET,"[[1.20512821]
 [1.92307692]]"
1047,AUTOCOMP,HS6,"[[0.72307692]
 [0.76530612]]"
1048,AUTOCOMP,SR4756,"[[0.88679245]
 [1.25      ]]"
1049,AUTOCOMP,UNIVERSAL,"[[1.        ]
 [1.05633803]]"
1050,AUTOCOMP,ACCUR #2,"[[1.09302326]
 [1.10294118]]"
1051,AUTOCOMP,TITEGROUP,"[[1.09302326]
 [1.10294118]]"
1052,AUTOCOMP,SR7625,"[[1.04444444]
 [1.29310345]]"
1053,AUTOCOMP,POWER PISTOL,"[[0.87037037]
 [0.81521739]]"
1054,AUTOCOMP,UNIQUE,"[[0.94      ]
 [0.89285714]]"
1055,AUTOCOMP,IMR 700X,"[[1.30555556]
 [1.66666667]]"
1056,AUTOCOMP,CLAYS,"[[1.34285714]
 [2.14285714]]"
1057,AUTOCOMP,WIN 296,"[[0.22380952]
 [0.35714286]]"
1058,AUTOCOMP,H110,"[[0.22380952]
 [0.35714286]]"
1059,AUTOCOMP,H4227,"[[0.26111111]
 [0.41666667]]"
1060,AUTOCOMP,v-N110,"[[0.2797619 ]
 [0.44642857]]"
1061,AUTOCOMP,R ENFORCER,"[[0.29012346]
 [0.46296296]]"
1062,AUTOCOMP,LONGSHORT,"[[0.54022989]
 [0.86206897]]"
1063,AUTOCOMP,HS6,"[[0.72307692]
 [0.76530612]]"
1064,AUTOCOMP,v-N350,"[[0.72307692]
 [0.78125   ]]"
1065,AUTOCOMP,v-N340,"[[0.81034483]
 [0.87209302]]"
1066,AUTOCOMP,WIN 231,"[[0.64383562]
 [1.02739726]]"
1067,AUTOCOMP,HP38,"[[0.64383562]
 [1.02739726]]"
1068,AUTOCOMP,TITEGROUP,"[[1.09302326]
 [1.10294118]]"
1069,AUTOCOMP,CFE PISTOL,"[[0.87037037]
 [1.08695652]]"
1070,AUTOCOMP,R TRUE BLUE,"[[0.83928571]
 [0.72115385]]"
1071,AUTOCOMP,AUTOCOMP,"[[1.]
 [1.]]"
1072,AUTOCOMP,UNIVERSAL,"[[1.        ]
 [1.05633803]]"
1073,AUTOCOMP,ACCUR #7,"[[0.43119266]
 [0.68807339]]"
1074,AUTOCOMP,ACCUR #5,"[[0.7704918]
 [0.78125  ]]"
1075,AUTOCOMP,SR4756,"[[0.88679245]
 [1.25      ]]"
1076,AUTOCOMP,HERC 2400,"[[0.30519481]
 [0.48701299]]"
1077,AUTOCOMP,SR7625,"[[1.04444444]
 [1.29310345]]"
1078,AUTOCOMP,IMR 700X,"[[1.30555556]
 [1.66666667]]"
1079,AUTOCOMP,v-N320,"[[0.95918367]
 [1.08695652]]"
1080,AUTOCOMP,POWER PISTOL,"[[0.87037037]
 [0.81521739]]"
1081,AUTOCOMP,UNIQUE,"[[0.94      ]
 [0.89285714]]"
1082,AUTOCOMP,v-N310,"[[0.78333333]
 [1.25      ]]"
1083,AUTOCOMP,IMR PB,"[[1.04444444]
 [1.66666667]]"
1084,AUTOCOMP,ACCUR #2,"[[1.09302326]
 [1.10294118]]"
