,powder1,powder2,fraction
313,POWER PISTOL,IMR PB,[[1.34883721]]
314,POWER PISTOL,R COMPETITION,[[1.61111111]]
315,CLAYS,IMR RED,[[1.]]
316,CLAYS,UNIQUE,[[0.78431373]]
317,CLAYS,IMR PB,[[0.93023256]]
318,CLAYS,R COMPETITION,[[1.11111111]]
319,IMR RED,UNIQUE,[[0.78431373]]
320,IMR RED,IMR PB,[[0.93023256]]
321,IMR RED,R COMPETITION,[[1.11111111]]
322,UNIQUE,IMR PB,[[1.18604651]]
323,UNIQUE,R COMPETITION,[[1.41666667]]
324,IMR PB,R COMPETITION,[[1.19444444]]
325,v-3N37,v-N340,[[1.15384615]]
326,v-3N37,v-N350,[[1.01694915]]
327,v-3N37,BLUE DOT,[[0.8]]
328,v-3N37,v-N330,[[1.25]]
329,v-3N37,UNIQUE,[[1.09090909]]
330,v-3N37,HS6,[[0.89552239]]
331,v-3N37,WIN 572,[[1.13207547]]
332,v-3N37,POWER PISTOL,[[1.01694915]]
333,v-3N37,LONGSHORT,[[1.2]]
334,v-3N37,v-N320,[[1.5]]
335,v-3N37,CFE PISTOL,[[1.13207547]]
336,v-3N37,IMR TARGET,[[1.36363636]]
337,v-3N37,HP38,[[1.27659574]]
338,v-3N37,WIN 231,[[1.27659574]]
339,v-3N37,AUTOCOMP,[[1.17647059]]
340,v-3N37,TITEGROUP,[[1.33333333]]
341,v-3N37,UNIVERSAL,[[1.33333333]]
342,v-3N37,BULLSEYE,[[1.46341463]]
343,v-3N37,SR7625,[[1.33333333]]
344,v-3N37,AMER-SELECT,[[1.25]]
345,v-3N37,CLAYS,[[1.62162162]]
346,v-3N37,IMR 700X,[[1.53846154]]
347,v-3N37,IMR PB,[[1.66666667]]
348,v-N340,v-N350,[[0.88135593]]
349,v-N340,BLUE DOT,[[0.69333333]]
350,v-N340,v-N330,[[1.08333333]]
351,v-N340,UNIQUE,[[0.94545455]]
352,v-N340,HS6,[[0.7761194]]
353,v-N340,WIN 572,[[0.98113208]]
354,v-N340,POWER PISTOL,[[0.88135593]]
355,v-N340,LONGSHORT,[[1.04]]
356,v-N340,v-N320,[[1.3]]
357,v-N340,CFE PISTOL,[[0.98113208]]
358,v-N340,IMR TARGET,[[1.18181818]]
359,v-N340,HP38,[[1.10638298]]
360,v-N340,WIN 231,[[1.10638298]]
361,v-N340,AUTOCOMP,[[1.01960784]]
362,v-N340,TITEGROUP,[[1.15555556]]
363,v-N340,UNIVERSAL,[[1.15555556]]
364,v-N340,BULLSEYE,[[1.26829268]]
365,v-N340,SR7625,[[1.15555556]]
366,v-N340,AMER-SELECT,[[1.08333333]]
367,v-N340,CLAYS,[[1.40540541]]
368,v-N340,IMR 700X,[[1.33333333]]
369,v-N340,IMR PB,[[1.44444444]]
370,v-N350,BLUE DOT,[[0.78666667]]
371,v-N350,v-N330,[[1.22916667]]
372,v-N350,UNIQUE,[[1.07272727]]
373,v-N350,HS6,[[0.88059701]]
374,v-N350,WIN 572,[[1.11320755]]
375,v-N350,POWER PISTOL,[[1.]]
376,v-N350,LONGSHORT,[[1.18]]
377,v-N350,v-N320,[[1.475]]
378,v-N350,CFE PISTOL,[[1.11320755]]
379,v-N350,IMR TARGET,[[1.34090909]]
380,v-N350,HP38,[[1.25531915]]
381,v-N350,WIN 231,[[1.25531915]]
382,v-N350,AUTOCOMP,[[1.15686275]]
383,v-N350,TITEGROUP,[[1.31111111]]
384,v-N350,UNIVERSAL,[[1.31111111]]
385,v-N350,BULLSEYE,[[1.43902439]]
386,v-N350,SR7625,[[1.31111111]]
387,v-N350,AMER-SELECT,[[1.22916667]]
388,v-N350,CLAYS,[[1.59459459]]
389,v-N350,IMR 700X,[[1.51282051]]
390,v-N350,IMR PB,[[1.63888889]]
391,BLUE DOT,v-N330,[[1.5625]]
392,BLUE DOT,UNIQUE,[[1.36363636]]
393,BLUE DOT,HS6,[[1.11940299]]
394,BLUE DOT,WIN 572,[[1.41509434]]
395,BLUE DOT,POWER PISTOL,[[1.27118644]]
396,BLUE DOT,LONGSHORT,[[1.5]]
397,BLUE DOT,v-N320,[[1.875]]
398,BLUE DOT,CFE PISTOL,[[1.41509434]]
399,BLUE DOT,IMR TARGET,[[1.70454545]]
400,BLUE DOT,HP38,[[1.59574468]]
401,BLUE DOT,WIN 231,[[1.59574468]]
402,BLUE DOT,AUTOCOMP,[[1.47058824]]
403,BLUE DOT,TITEGROUP,[[1.66666667]]
404,BLUE DOT,UNIVERSAL,[[1.66666667]]
405,BLUE DOT,BULLSEYE,[[1.82926829]]
406,BLUE DOT,SR7625,[[1.66666667]]
407,BLUE DOT,AMER-SELECT,[[1.5625]]
408,BLUE DOT,CLAYS,[[2.02702703]]
409,BLUE DOT,IMR 700X,[[1.92307692]]
410,BLUE DOT,IMR PB,[[2.08333333]]
411,v-N330,UNIQUE,[[0.87272727]]
412,v-N330,HS6,[[0.71641791]]
413,v-N330,WIN 572,[[0.90566038]]
414,v-N330,POWER PISTOL,[[0.81355932]]
415,v-N330,LONGSHORT,[[0.96]]
416,v-N330,v-N320,[[1.2]]
417,v-N330,CFE PISTOL,[[0.90566038]]
418,v-N330,IMR TARGET,[[1.09090909]]
419,v-N330,HP38,[[1.0212766]]
420,v-N330,WIN 231,[[1.0212766]]
421,v-N330,AUTOCOMP,[[0.94117647]]
422,v-N330,TITEGROUP,[[1.06666667]]
423,v-N330,UNIVERSAL,[[1.06666667]]
424,v-N330,BULLSEYE,[[1.17073171]]
425,v-N330,SR7625,[[1.06666667]]
426,v-N330,AMER-SELECT,[[1.]]
427,v-N330,CLAYS,[[1.2972973]]
428,v-N330,IMR 700X,[[1.23076923]]
429,v-N330,IMR PB,[[1.33333333]]
430,UNIQUE,HS6,[[0.82089552]]
431,UNIQUE,WIN 572,[[1.03773585]]
